"Source:","C:\Users\Usuario\Desktop\Trastitos\PCB\CLK\CLK.kicad_sch"
"Date:","9/29/2023 9:05:41 PM"
"Tool:","Eeschema (7.0.0)"
"Component Count:","32"
"Ref","Value","Manufacturer","Code","Library","Symbol","Footprint","Area [sq mm]"
"C1","C","","","Device","C","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C2","C","","","Device","C","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C3","C","","","Device","C","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C4","0.1 uF","","","Device","C","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"C5","C","","","Device","C","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C6","C","","","Device","C","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D1","LED","","","Device","LED","LED_THT:LED_D5.0mm",""
"D2","LED","","","Device","LED","LED_THT:LED_D5.0mm",""
"D3","LED","","","Device","LED","LED_THT:LED_D5.0mm",""
"D4","LED","","","Device","LED","LED_THT:LED_D5.0mm",""
"R1","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R2","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R3","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R4","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R5","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R6","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R7","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R8","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R9","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R10","R","","","Device","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"RV1","R_Potentiometer","","","Device","R_Potentiometer","Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal",""
"SW1","SW_DIP_x01","","","Switch","SW_DIP_x01","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"SW2","SW_SPDT","","","Switch","SW_SPDT","Button_Switch_THT:SW_Push_2P2T_Toggle_CK_PVA2xxH2xxxxxxV2",""
"TP1","TestPoint","","","Connector","TestPoint","TestPoint:TestPoint_Pad_4.0x4.0mm",""
"TP2","TestPoint","","","Connector","TestPoint","TestPoint:TestPoint_Pad_4.0x4.0mm",""
"TP3","TestPoint","","","Connector","TestPoint","TestPoint:TestPoint_Pad_4.0x4.0mm",""
"U1","NE555P","","","Timer","NE555P","Package_DIP:DIP-8_W7.62mm",""
"U2","NE555P","","","Timer","NE555P","Package_DIP:DIP-8_W7.62mm",""
"U3","NE555P","","","Timer","NE555P","Package_DIP:DIP-8_W7.62mm",""
"U4","74LS08","","","74xx","74LS08","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"U5","74LS32","","","74xx","74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"U6","74LS04","","","74xx","74LS04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
